repository_name,age,number_of_commits,number_of_authors,number_of_java_files,version
elasticsearch,159.766667,68933,1961,17032,HAS_RECORDS
RxJava,134.400000,6033,332,1884,BEFORE_JAVA16
retrofit,152.800000,2059,194,290,BEFORE_JAVA16
MPAndroidChart,85.866667,2070,85,223,BEFORE_JAVA16
lottie-android,81.000000,1509,131,219,BEFORE_JAVA16
glide,124.166667,2858,182,720,BEFORE_JAVA16
dbeaver,127.933333,24294,333,5000,BEFORE_JAVA16
AndroidUtilCode,74.833333,1430,54,275,BEFORE_JAVA16
selenium,222.933333,29736,817,1164,BEFORE_JAVA16
nacos,58.166667,4618,387,2047,BEFORE_JAVA16
butterknife,89.933333,1016,103,156,BEFORE_JAVA16
fastjson,141.366667,3983,223,3119,BEFORE_JAVA16
EventBus,119.866667,550,31,97,BEFORE_JAVA16
Signal-Android,137.366667,12464,328,2476,BEFORE_JAVA16
Hystrix,134.066667,2119,148,411,BEFORE_JAVA16
gson,177.000000,1831,149,243,HAS_RECORDS
redisson,113.300000,8008,178,2305,BEFORE_JAVA16
Sentinel,58.233333,807,195,1199,BEFORE_JAVA16
bazel,99.200000,36046,1114,5987,HAS_RECORDS
RxAndroid,114.200000,543,82,12,BEFORE_JAVA16
rocketmq,120.566667,8108,625,1755,BEFORE_JAVA16
shardingsphere,88.433333,38997,676,7048,BEFORE_JAVA16
fresco,98.266667,3546,427,821,BEFORE_JAVA16
Android-Universal-Image-Loader,100.333333,1038,43,88,BEFORE_JAVA16
tinker,73.333333,815,48,294,BEFORE_JAVA16
openapi-generator,142.833333,18646,2614,9080,BEFORE_JAVA16
keycloak,118.966667,22069,1161,6508,BEFORE_JAVA16
APIJSON,78.200000,3067,73,65,BEFORE_JAVA16
Android-CleanArchitecture,76.300000,248,12,81,BEFORE_JAVA16
material-components-android,77.700000,5224,233,872,BEFORE_JAVA16
Algorithms,74.266667,1620,52,316,BEFORE_JAVA16
QMUI_Android,63.933333,1007,23,376,BEFORE_JAVA16
thingsboard,78.000000,13955,241,3327,BEFORE_JAVA16
logger,73.400000,146,14,14,BEFORE_JAVA16
logstash,165.700000,10404,565,553,BEFORE_JAVA16
Android-PickerView,90.300000,493,26,40,BEFORE_JAVA16
tink,75.133333,6342,129,828,BEFORE_JAVA16
AndroidAutoSize,34.533333,333,5,45,BEFORE_JAVA16
deeplearning4j,47.433333,2693,71,4128,BEFORE_JAVA16
zuul,134.400000,1482,77,357,BEFORE_JAVA16
stetho,74.266667,588,60,258,BEFORE_JAVA16
Matisse,30.566667,223,41,48,BEFORE_JAVA16
piggymetrics,79.533333,290,19,97,BEFORE_JAVA16
AndroidSwipeLayout,34.533333,175,24,22,BEFORE_JAVA16
AndroidViewAnimations,74.266667,145,22,69,BEFORE_JAVA16
guice,200.833333,2084,124,621,BEFORE_JAVA16
eureka,264.700000,1687,143,408,BEFORE_JAVA16
