repository_name,classes,enum,records,interfaces,annotations,all_reference_types,simple_assignment,method_arguments,both_expressions
elasticsearch,26953,582,1322,41,505,29403,400230,1856594,2256824
RxJava,11729,35,101,9,0,11874,36824,154611,191435
retrofit,985,2,109,38,0,1134,3321,9894,13215
MPAndroidChart,259,17,30,0,0,306,4835,10716,15551
lottie-android,229,16,28,1,0,274,3280,6070,9350
glide,1381,19,126,15,0,1541,9242,34036,43278
dbeaver,6682,338,770,21,0,7811,66492,169017,235509
AndroidUtilCode,605,6,59,17,0,687,4820,18990,23810
selenium,1526,49,132,21,0,1728,13757,60505,74262
nacos,2336,42,181,16,0,2575,22519,75446,97965
butterknife,251,7,14,28,0,300,1574,4926,6500
fastjson,6109,126,85,9,0,6329,34452,66809,101261
EventBus,170,1,12,1,0,184,665,1600,2265
Signal-Android,3894,207,382,2,0,4485,32709,123641,156350
Hystrix,1925,35,45,7,0,2012,6338,25924,32262
gson,935,23,21,7,23,1009,5454,15995,21449
redisson,2918,151,392,12,0,3473,33923,167306,201229
Sentinel,1369,13,123,8,0,1513,9207,27387,36594
bazel,9716,389,967,51,1,11124,95583,472293,567876
RxAndroid,55,0,0,0,0,55,160,583,743
rocketmq,2193,83,154,3,0,2433,34068,100696,134764
shardingsphere,6580,120,493,12,0,7205,28230,163985,192215
fresco,1207,23,128,11,0,1369,10297,45540,55837
Android-Universal-Image-Loader,121,6,13,0,0,140,1309,2152,3461
tinker,463,4,43,2,0,512,8634,14498,23132
openapi-generator,11067,1160,513,15,0,12755,103580,311806,415386
keycloak,7470,226,883,60,0,8639,79331,315570,394901
APIJSON,52,2,13,2,0,69,2184,6303,8487
Android-CleanArchitecture,87,0,18,1,0,106,267,692,959
material-components-android,1798,6,115,72,0,1991,16209,50213,66422
Algorithms,445,10,8,0,0,463,9031,21170,30201
QMUI_Android,950,14,102,23,0,1089,8840,27508,36348
thingsboard,3429,156,481,31,0,4097,31740,136959,168699
logger,14,0,4,0,0,18,119,315,434
logstash,695,20,65,1,0,781,6613,23940,30553
Android-PickerView,79,2,10,0,0,91,829,1711,2540
tink,1339,12,59,2,0,1412,17720,67215,84935
AndroidAutoSize,46,1,4,0,0,51,271,636,907
deeplearning4j,4968,253,339,4,0,5564,94689,502452,597141
zuul,395,18,44,4,0,461,3611,12143,15754
stetho,500,13,74,4,0,591,2619,5113,7732
Matisse,62,1,13,2,0,78,645,1432,2077
piggymetrics,77,7,15,0,0,99,292,1291,1583
AndroidSwipeLayout,62,4,8,0,0,74,420,858,1278
AndroidViewAnimations,80,1,1,0,0,82,106,1134,1240
guice,3360,52,325,157,0,3894,7954,33524,41478
eureka,635,29,71,3,0,738,5209,15902,21111
DSA-Bootcamp-Java,222,1,11,0,0,234,1263,1450,2713
VasSonic,103,0,8,0,0,111,1282,3034,4316
questdb,4364,25,372,1,0,4762,59000,239853,298853
mit-deep-learning-book-pdf,1,0,0,0,0,1,0,0,0
onedev,6604,46,262,80,0,6992,30012,97081,127093
