repository_name,classes,enums,interfaces,annotation_interfaces,records
elasticsearch, 26953, 582, 1322, 41, 505
RxJava, 11729, 35, 101, 9, 0
retrofit, 985, 2, 109, 38, 0
MPAndroidChart, 259, 17, 30, 0, 0
lottie-android, 229, 16, 28, 1, 0
glide, 1381, 19, 126, 15, 0
dbeaver, 6682, 338, 770, 21, 0
AndroidUtilCode, 605, 6, 59, 17, 0
selenium, 1526, 49, 132, 21, 0
nacos, 2336, 42, 181, 16, 0
butterknife, 251, 7, 14, 28, 0
fastjson, 6109, 126, 85, 9, 0
EventBus, 170, 1, 12, 1, 0
Signal-Android, 3894, 207, 382, 2, 0
Hystrix, 1925, 35, 45, 7, 0
gson, 935, 23, 21, 7, 23
redisson, 2918, 151, 392, 12, 0
Sentinel, 1369, 13, 123, 8, 0
bazel, 9716, 389, 967, 51, 1
RxAndroid, 55, 0, 0, 0, 0
rocketmq, 2193, 83, 154, 3, 0
shardingsphere, 6580, 120, 493, 12, 0
fresco, 1207, 23, 128, 11, 0
Android-Universal-Image-Loader, 121, 6, 13, 0, 0
tinker, 463, 4, 43, 2, 0
openapi-generator, 11067, 1160, 513, 15, 0
keycloak, 7470, 226, 883, 60, 0
APIJSON, 52, 2, 13, 2, 0
Android-CleanArchitecture, 87, 0, 18, 1, 0
material-components-android, 1798, 6, 115, 72, 0
Algorithms, 445, 10, 8, 0, 0
QMUI_Android, 950, 14, 102, 23, 0
thingsboard, 3429, 156, 481, 31, 0
logger, 14, 0, 4, 0, 0
logstash, 695, 20, 65, 1, 0
Android-PickerView, 79, 2, 10, 0, 0
tink, 1339, 12, 59, 2, 0
AndroidAutoSize, 46, 1, 4, 0, 0
deeplearning4j, 4968, 253, 339, 4, 0
zuul, 395, 18, 44, 4, 0
stetho, 500, 13, 74, 4, 0
Matisse, 62, 1, 13, 2, 0
piggymetrics, 77, 7, 15, 0, 0
AndroidSwipeLayout, 62, 4, 8, 0, 0
AndroidViewAnimations, 80, 1, 1, 0, 0
guice, 3360, 52, 325, 157, 0
eureka, 635, 29, 71, 3, 0
DSA-Bootcamp-Java, 222, 1, 11, 0, 0
VasSonic, 103, 0, 8, 0, 0
questdb, 4364, 25, 372, 1, 0
mit-deep-learning-book-pdf, 1, 0, 0, 0, 0
onedev, 6604, 46, 262, 80, 0
androidannotations, 847, 11, 106, 132, 0
SlidingMenu, 66, 0, 8, 0, 0
dex2jar, 526, 14, 25, 7, 0
vlayout, 147, 1, 11, 0, 0
android-async-http, 150, 0, 4, 0, 0
MVPArms, 103, 1, 45, 3, 0
jsoup, 226, 9, 7, 4, 0
cas, 7150, 97, 516, 10, 81
android-interview-questions, 1, 0, 0, 0, 0
Java-WebSocket, 245, 5, 16, 0, 0
Android-ObservableScrollView, 327, 3, 5, 0, 0
android-Ultra-Pull-To-Refresh, 159, 0, 2, 0, 0
OpenRefine, 1296, 14, 44, 0, 0
AndroidSlidingUpPanel, 15, 1, 1, 0, 0
MagicIndicator, 92, 1, 10, 0, 0
Activiti, 2716, 45, 458, 7, 0
android-gif-drawable, 61, 1, 3, 1, 0
JsBridge, 23, 0, 5, 0, 0
jjwt, 336, 1, 123, 0, 0
AndroidNote, 7, 1, 0, 0, 0
testing-samples, 80, 3, 1, 0, 0
VirtualAPK, 159, 0, 4, 0, 0
resilience4j, 1209, 18, 124, 20, 0
android-gpuimage, 143, 2, 8, 0, 0
CalendarView, 159, 0, 17, 0, 0
languagetool, 2475, 51, 60, 2, 0
Android_Data, 2, 0, 0, 0, 0
buck, 9288, 451, 1147, 37, 0
quickstart-android, 230, 0, 3, 0, 0
Android-SpinKit, 69, 1, 1, 0, 0
doris, 4912, 242, 191, 14, 0
AndResGuard, 68, 1, 1, 0, 0
Signal-Server, 711, 34, 36, 9, 127
Android-Debug-Database, 57, 0, 4, 0, 0
shenyu, 2746, 68, 231, 58, 0
checkstyle, 7943, 741, 929, 800, 524
metrics, 599, 8, 34, 9, 0
