interface_type, frequency
#userType, 80159
java.io.Serializable, 5756
java.lang.Runnable, 3566
java.util.Iterator, 1357
java.lang.Comparable, 1241
java.lang.Cloneable, 1069
java.util.stream.Collector, 805
java.awt.event.ActionListener, 785
java.lang.AutoCloseable, 613
java.io.Closeable, 547
java.beans.PropertyChangeListener, 539
javax.swing.plaf.UIResource, 504
java.util.Comparator, 477
java.lang.Iterable, 476
java.util.concurrent.ForkJoinPool.ManagedBlocker, 475
java.util.concurrent.Callable, 384
com.sun.net.httpserver.HttpHandler, 374
java.util.function.Function, 303
javax.swing.event.ChangeListener, 291
javax.swing.Icon, 254
javax.accessibility.Accessible, 239
java.util.Spliterator, 222
java.util.Set, 218
java.awt.print.Printable, 214
java.util.function.Consumer, 203
java.util.function.Supplier, 174
java.lang.CharSequence, 161
java.awt.event.FocusListener, 159
java.awt.event.MouseListener, 150
java.util.function.Predicate, 134
javax.management.NotificationListener, 133
java.lang.reflect.InvocationHandler, 120
java.awt.datatransfer.Transferable, 119
javax.print.attribute.PrintJobAttribute, 108
java.io.Externalizable, 108
javax.tools.DiagnosticListener, 105
java.awt.event.ItemListener, 104
java.awt.LayoutManager, 104
javax.swing.event.ListSelectionListener, 102
java.util.Enumeration, 98
org.xml.sax.ErrorHandler, 97
java.rmi.Remote, 96
javax.print.attribute.PrintRequestAttribute, 90
java.util.Map, 89
org.xml.sax.ContentHandler, 85
java.security.PrivilegedAction, 83
java.util.concurrent.ThreadFactory, 81
java.util.concurrent.Executor, 80
java.util.concurrent.Flow.Subscriber, 78
java.awt.event.MouseMotionListener, 78
javax.security.auth.callback.CallbackHandler, 77
java.lang.instrument.ClassFileTransformer, 76
java.lang.Thread.UncaughtExceptionHandler, 76
java.util.function.BiConsumer, 74
java.awt.event.AWTEventListener, 73
java.awt.dnd.DropTargetListener, 67
java.awt.event.KeyListener, 67
java.awt.dnd.DragGestureListener, 65
java.security.Principal, 63
java.util.concurrent.locks.Lock, 62
java.util.List, 62
javax.swing.ListCellRenderer, 62
java.util.Map.Entry, 58
javax.security.auth.spi.LoginModule, 56
javax.swing.event.MouseInputListener, 56
java.util.Spliterator.OfInt, 56
java.util.concurrent.Flow.Subscription, 55
java.awt.event.ComponentListener, 55
com.sun.source.util.TaskListener, 55
java.util.RandomAccess, 54
java.lang.System.Logger, 53
javax.swing.event.DocumentListener, 53
javax.management.MBeanRegistration, 53
javax.swing.SwingConstants, 51
javax.swing.border.Border, 49
java.util.concurrent.BlockingQueue, 49
javax.swing.table.TableCellRenderer, 49
javax.print.attribute.PrintServiceAttribute, 48
jdk.javadoc.doclet.Doclet, 48
java.awt.event.WindowListener, 47
org.xml.sax.ext.LexicalHandler, 46
java.security.spec.AlgorithmParameterSpec, 46
javax.swing.event.ListDataListener, 45
java.awt.image.ImageObserver, 44
java.util.Spliterator.OfLong, 44
java.lang.constant.Constable, 44
java.awt.event.ContainerListener, 43
java.time.temporal.TemporalAdjuster, 42
jdk.javadoc.doclet.Taglet, 42
javax.accessibility.AccessibleValue, 42
java.net.http.HttpResponse.BodySubscriber, 42
java.util.Spliterator.OfDouble, 41
javax.swing.ComboBoxModel, 41
java.util.function.BiFunction, 41
java.lang.Appendable, 40
org.xml.sax.XMLReader, 40
org.xml.sax.EntityResolver, 39
javax.print.attribute.DocAttribute, 39
javax.accessibility.AccessibleAction, 38
org.w3c.dom.NodeList, 38
java.awt.event.MouseWheelListener, 37
java.awt.dnd.DragSourceListener, 36
javax.xml.transform.ErrorListener, 35
java.net.http.HttpResponse.BodyHandler, 34
