num_of_methods, frequency
1, 135007
0, 126797
2, 63570
3, 41246
4, 26834
5, 20055
6, 13973
7, 11263
8, 8706
9, 6645
10, 5181
11, 4426
12, 3411
13, 3409
14, 2506
15, 2092
16, 1893
18, 1683
17, 1595
19, 1290
20, 1114
23, 944
21, 908
22, 826
25, 725
24, 672
27, 581
26, 571
28, 553
29, 439
30, 412
31, 393
33, 346
32, 331
35, 280
51, 269
34, 259
36, 249
37, 236
39, 205
44, 203
38, 198
43, 197
42, 193
41, 178
47, 178
40, 165
45, 149
46, 146
48, 135
49, 130
52, 114
53, 98
50, 94
54, 91
55, 89
58, 77
60, 69
70, 66
73, 65
57, 62
61, 58
72, 58
56, 57
63, 54
64, 53
68, 51
62, 50
65, 50
74, 48
59, 45
69, 43
67, 40
66, 38
71, 37
78, 34
76, 30
82, 30
80, 28
87, 26
77, 24
94, 24
75, 23
83, 23
88, 23
99, 23
84, 22
79, 20
85, 19
81, 18
91, 18
96, 18
89, 17
90, 17
92, 16
93, 15
103, 15
121, 15
104, 14
86, 13
113, 13
137, 13
106, 12
108, 12
110, 12
135, 12
98, 11
124, 11
100, 10
107, 10
111, 10
116, 10
136, 10
168, 10
105, 9
95, 8
125, 8
180, 8
851, 8
119, 7
159, 7
175, 7
189, 7
102, 6
112, 6
115, 6
118, 6
126, 6
176, 6
188, 6
193, 6
97, 5
109, 5
117, 5
123, 5
131, 5
139, 5
140, 5
143, 5
147, 5
149, 5
153, 5
169, 5
127, 4
128, 4
130, 4
156, 4
157, 4
167, 4
178, 4
181, 4
183, 4
199, 4
301, 4
871, 4
881, 4
883, 4
891, 4
899, 4
920, 4
101, 3
114, 3
122, 3
129, 3
132, 3
141, 3
142, 3
145, 3
155, 3
158, 3
170, 3
208, 3
209, 3
219, 3
263, 3
283, 3
293, 3
335, 3
377, 3
379, 3
384, 3
2048, 2
120, 2
133, 2
134, 2
150, 2
164, 2
172, 2
173, 2
184, 2
190, 2
191, 2
192, 2
194, 2
206, 2
212, 2
217, 2
240, 2
241, 2
243, 2
245, 2
246, 2
260, 2
267, 2
277, 2
298, 2
307, 2
310, 2
313, 2
314, 2
319, 2
324, 2
333, 2
357, 2
363, 2
365, 2
461, 2
519, 1
521, 1
530, 1
535, 1
563, 1
569, 1
1127, 1
144, 1
146, 1
148, 1
151, 1
1687, 1
152, 1
154, 1
160, 1
161, 1
162, 1
163, 1
677, 1
171, 1
186, 1
187, 1
699, 1
195, 1
197, 1
200, 1
202, 1
203, 1
204, 1
213, 1
215, 1
218, 1
220, 1
221, 1
224, 1
225, 1
228, 1
232, 1
234, 1
236, 1
237, 1
766, 1
773, 1
270, 1
275, 1
278, 1
279, 1
280, 1
281, 1
288, 1
289, 1
311, 1
323, 1
325, 1
326, 1
329, 1
346, 1
865, 1
369, 1
374, 1
380, 1
383, 1
907, 1
401, 1
411, 1
925, 1
430, 1
449, 1
451, 1
458, 1
16340, 1
503, 1
