field_type, frequency
int, 3315
java.lang.String, 2770
#userType, 2447
long, 775
java.util.List, 552
boolean, 446
double, 228
java.util.Map, 199
java.lang.Long, 175
java.util.Set, 147
java.util.Optional, 146
java.lang.Object, 133
java.lang.Integer, 131
java.time.Instant, 125
java.lang.Double, 95
java.lang.Boolean, 84
byte[], 81
float, 79
#userType[], 68
double[], 68
java.lang.Class, 64
java.util.UUID, 48
char, 41
int[], 38
java.nio.file.Path, 36
short, 28
java.util.function.Supplier, 26
java.util.Collection, 26
byte, 24
java.lang.Object[], 24
java.net.URI, 24
javax.lang.model.element.ExecutableElement, 22
java.time.LocalDateTime, 21
java.lang.Runnable, 21
java.util.function.Function, 20
java.lang.String[], 19
java.util.LinkedHashMap, 17
java.util.function.Consumer, 16
java.time.Duration, 15
java.io.File, 14
java.math.BigDecimal, 13
org.w3c.dom.Node, 12
java.lang.Record, 11
java.net.http.HttpClient, 11
long[], 10
java.time.LocalDate, 10
java.math.BigInteger, 10
java.util.function.BiConsumer, 10
java.lang.Exception, 9
java.util.function.Predicate, 9
java.lang.invoke.MethodHandle, 8
java.lang.reflect.Method, 8
java.util.ArrayDeque, 8
java.awt.Point, 8
java.lang.invoke.MethodType, 8
java.lang.constant.ClassDesc, 8
java.util.ArrayList, 7
java.lang.Float, 6
java.time.ZonedDateTime, 6
char[], 6
float[], 5
java.util.Deque, 5
java.util.HashSet, 5
java.net.InetAddress, 5
java.lang.Number, 5
java.nio.ByteBuffer, 5
java.net.http.HttpResponse, 4
java.lang.Process, 4
com.sun.source.doctree.DocTree, 4
java.net.http.HttpHeaders, 4
java.util.concurrent.atomic.AtomicLong, 4
java.util.Date, 4
java.util.function.DoubleUnaryOperator, 4
java.lang.Integer[], 4
jdk.incubator.vector.VectorSpecies, 4
java.awt.Shape, 4
java.lang.reflect.Type, 4
java.util.HashMap, 4
java.util.function.DoubleBinaryOperator, 4
java.lang.constant.ConstantDesc, 4
java.lang.Thread, 3
java.lang.Module, 3
double[][][], 3
java.util.concurrent.Callable, 3
java.util.regex.Pattern, 3
java.lang.ClassLoader, 3
java.util.concurrent.ConcurrentHashMap, 3
java.util.function.BinaryOperator, 3
java.util.concurrent.CompletableFuture, 3
java.lang.CharSequence, 2
javax.lang.model.element.Element, 2
java.lang.reflect.Constructor, 2
java.nio.file.attribute.UserPrincipal, 2
java.security.cert.X509Certificate, 2
java.util.SortedSet, 2
com.sun.source.doctree.ParamTree, 2
java.security.Provider, 2
java.lang.ModuleLayer, 2
java.lang.constant.MethodTypeDesc, 2
java.nio.charset.Charset, 2
java.security.PublicKey, 2
java.util.BitSet, 2
java.lang.Character, 2
java.util.TreeSet, 2
java.io.StringWriter, 2
java.time.LocalTime, 2
java.util.LongSummaryStatistics, 2
int[][], 2
java.util.EnumSet, 2
javax.lang.model.element.VariableElement, 2
java.lang.reflect.Field, 2
java.util.function.BiFunction, 2
com.sun.source.doctree.ReturnTree, 2
java.nio.file.Path[], 2
java.util.Queue, 2
javax.tools.JavaFileObject, 2
java.security.PrivateKey, 2
java.lang.Throwable, 2
java.nio.file.attribute.GroupPrincipal, 2
java.lang.invoke.MethodHandles.Lookup, 2
com.sun.source.tree.Tree.Kind, 2
javax.lang.model.type.DeclaredType, 2
java.net.URL, 2
java.lang.Enum, 2
java.net.URLStreamHandler, 2
java.io.ObjectInputFilter, 2
java.util.concurrent.atomic.LongAdder, 2
java.net.Socket, 2
short[], 2
java.lang.IllegalArgumentException, 2
java.lang.Boolean[], 1
java.awt.Color, 1
java.util.LinkedList[], 1
java.time.LocalDate[], 1
java.awt.geom.GeneralPath, 1
java.awt.event.ActionListener, 1
java.lang.Character[], 1
int[]..., 1
java.lang.Class[], 1
java.util.concurrent.atomic.AtomicInteger, 1
java.util.concurrent.atomic.AtomicBoolean, 1
java.util.function.BiPredicate, 1
java.io.PrintStream, 1
javax.swing.JList, 1
java.util.EnumMap, 1
java.awt.geom.AffineTransform, 1
java.util.ResourceBundle, 1
java.util.LinkedHashSet, 1
java.lang.RuntimeException, 1
java.net.SocketAddress, 1
java.time.LocalDateTime[], 1
java.net.InetSocketAddress, 1
java.util.concurrent.atomic.AtomicReference, 1
java.time.LocalTime[], 1
java.lang.Float[], 1
java.io.Closeable, 1
java.io.InputStream, 1
java.security.Policy, 1
java.lang.Long[], 1
java.lang.Byte[], 1
java.util.function.IntFunction, 1
java.util.Locale, 1
java.lang.Short, 1
java.time.OffsetDateTime[], 1
java.awt.Image, 1
java.util.concurrent.atomic.AtomicLongArray, 1
java.util.Stack, 1
java.lang.Double[], 1
java.util.LinkedList, 1
java.util.concurrent.ExecutorService, 1
java.lang.Short[], 1
java.util.concurrent.Semaphore, 1
java.nio.channels.FileChannel, 1
java.time.Instant[], 1
java.util.function.LongSupplier, 1
java.security.SecureRandom, 1
java.math.BigDecimal[], 1
java.io.Reader, 1
boolean[], 1
java.lang.Comparable, 1
java.security.CodeSource, 1
java.net.http.HttpClient.Builder, 1
org.w3c.dom.Node[], 1
jdk.jfr.ValueDescriptor, 1
java.lang.Byte, 1
java.time.OffsetDateTime, 1
javax.sql.DataSource, 1
javax.swing.JComponent, 1
java.util.Iterator, 1
double[][], 1
