interface_type, frequency
#userType, 994
java.io.Serializable, 256
java.lang.Comparable, 39
java.io.Closeable, 13
java.lang.Runnable, 10
java.lang.Iterable, 6
java.util.concurrent.Flow.Subscriber, 4
java.util.function.Predicate, 3
com.sun.net.httpserver.HttpHandler, 3
java.lang.CharSequence, 2
java.util.Map.Entry, 2
java.lang.reflect.InvocationHandler, 2
javax.management.openmbean.CompositeDataView, 2
java.security.KeyStore.Entry.Attribute, 2
java.awt.dnd.DropTargetListener, 1
javax.security.auth.callback.CallbackHandler, 1
java.util.function.Function, 1
java.util.function.Consumer, 1
java.util.concurrent.Callable, 1
java.security.Principal, 1
java.util.Map, 1
java.util.function.IntFunction, 1
java.io.Externalizable, 1
java.lang.AutoCloseable, 1
java.lang.Cloneable, 1
javax.swing.Icon, 1
