repository_name,with_new_files,to_record_conversion,added,added_others,with_deleted_files,to_class_conversion,removed,removed_others,modifications
elasticsearch,187,225,127,-914,1,3,29,-594,348
gson,1,0,23,-48,0,0,1,-26,6
bazel,1,0,0,0,0,0,0,0,0
cas,11,87,1,-122,2,12,0,-46,34
Signal-Server,89,31,22,-183,17,1,1,-132,106
checkstyle,520,0,28,-74,24,0,6,-52,5
graylog2-server,110,0,5,-40,14,3,3,-41,35
flowable-engine,0,0,0,0,0,0,0,0,0
junit5,1,0,0,0,0,0,0,0,0
hazelcast,7,0,4,-12,0,0,4,-12,4
camel,0,0,0,0,0,0,0,0,0
spring-cloud-gateway,1,0,0,0,0,0,0,0,0
sodium-fabric,5,7,2,-28,3,1,0,-20,16
crate,20,3,21,-51,1,1,3,-31,17
kestra,0,0,0,0,0,0,0,0,0
logisim-evolution,1,17,1,-18,0,0,0,0,0
openj9,4,0,0,0,0,0,0,0,0
jabref,12,3,1,-5,0,0,0,-1,1
CompreFace,6,0,0,0,0,0,0,0,0
spring-data-elasticsearch,17,10,1,-13,0,0,0,-2,1
WorldEdit,0,0,1,-1,0,0,0,0,0
ArchUnit,29,0,0,0,0,0,0,0,0
signal-cli,89,63,31,-1030,0,1,17,-954,249
pdfsam,53,3,0,-10,2,1,1,-9,7
spring-batch,2,0,3,-4,0,0,0,-1,1
Create,21,2,8,-16,1,0,1,-7,6
intellij-plugins,0,0,2,-2,0,0,0,0,0
UniversalMediaServer,0,0,0,0,0,0,0,0,0
spring-cloud-config,0,0,0,0,0,0,0,0,0
servicecomb-java-chassis,0,0,0,0,0,0,0,0,0
jdbi,1,0,0,0,0,0,0,0,0
dependency-track,17,0,2,-2,0,0,1,-1,0
AsciidocFX,1,0,0,-1,0,0,0,-1,1
hapi-fhir,1,0,0,0,0,0,0,0,0
spring-data-redis,4,0,3,-3,0,0,0,0,0
jooby,2,0,0,0,0,0,0,0,0
spring-data-mongodb,9,7,2,-15,0,0,5,-11,4
spoon,12,0,0,-2,0,0,0,-2,2
blobsaver,0,1,1,-12,0,0,0,-10,6
marquez,12,0,3,-6,0,0,1,-4,3
mastodon-android,0,0,0,0,0,0,0,0,0
BlueMap,0,0,0,0,0,0,0,0,0
Applied-Energistics-2,90,7,35,-109,5,2,12,-81,63
sdrtrunk,2,0,0,-2,0,0,0,-2,2
high-performance-java-persistence,12,0,3,-10,0,0,1,-8,1
Botania,46,8,5,-42,0,0,0,-29,29
DataFixerUpper,0,22,4,-69,1,0,0,-43,23
sonar-java,86,0,23,-30,3,0,0,-7,1
full-stack-with-angular-and-spring-boot,6,0,1,-1,0,0,1,-1,0
openremote,0,0,0,0,0,0,0,0,0
JustEnoughItems,29,0,4,-16,2,0,0,-12,12
microcks,0,0,0,0,0,0,0,0,0
sparrow,3,0,2,-8,0,1,1,-8,6
restheart,14,8,4,-25,1,0,0,-13,11
WorldGuard,0,0,0,0,0,0,0,0,0
jte,0,0,0,0,0,0,0,0,0
pcgen,0,2,0,-2,0,0,0,0,0
Slimefun4,0,0,0,0,0,0,0,0,0
xstream,0,0,0,0,0,0,0,0,0
cats,0,1,0,-1,0,0,0,0,0
fess,0,0,0,0,0,0,0,0,0
ejml,0,0,0,0,0,0,0,0,0
blog-tutorials,3,0,0,0,0,0,0,0,0
spring-data-commons,0,4,6,-13,0,0,0,-3,2
No-Chat-Reports,0,0,0,0,0,0,0,0,0
spark,2,0,1,-1,0,0,0,0,0
Chunky,3,4,0,-4,0,0,0,0,0
hellokoding-courses,1,0,0,0,0,0,0,0,0
geckolib,112,7,3,-20,16,1,0,-11,9
SapMachine,377,31,108,-299,8,0,15,-175,58
BoofCV,0,0,0,0,0,0,0,0,0
bnd,10,0,0,0,0,0,0,0,0
JetBrainsRuntime,2,0,0,0,0,0,0,0,0
activej,149,104,22,-299,13,1,7,-181,50
jenetics,24,24,3,-30,7,0,0,-3,3
FastAsyncWorldEdit,13,19,2,-25,0,0,0,-4,4
frostwire,0,0,0,0,0,0,0,0,0
slice,1,0,0,0,0,0,0,0,0
service-proxy,1,0,0,0,0,0,0,0,0
js-graphql-intellij-plugin,0,0,0,0,0,0,0,0,0
sts4,13,0,0,-1,0,0,0,-1,1
Sketchware-Pro,0,0,0,0,0,0,0,0,0
Bytecoder,23,2,8,-12,0,0,0,-2,2
sejda,0,2,0,-2,0,0,0,0,0
redis-om-spring,0,1,0,-1,0,0,0,0,0
stroom,27,5,7,-14,3,0,1,-3,2
selenium-java-lean-test-architecture,0,1,0,-1,0,0,0,0,0
KeenWrite,1,0,1,-4,0,0,0,-3,3
Springy-Store-Microservices,7,4,0,-6,0,5,0,-7,2
MCreator,12,23,0,-36,3,0,0,-13,13
equalsverifier,24,0,7,-62,0,0,1,-56,1
spring-data-neo4j,3,1,1,-2,0,0,0,0,0
LiveLessons,52,7,0,-13,9,0,1,-7,6
odd-platform,67,13,12,-80,3,0,8,-63,24
oraxen,3,2,1,-6,0,1,0,-4,3
DrivenByMoss,0,8,0,-11,1,0,0,-3,3
hilla,6,0,0,0,3,0,0,0,0
sirix,16,9,5,-23,1,2,3,-14,9
master-spring-and-spring-boot,19,0,1,-1,8,0,0,0,0
CraftBook,0,0,0,0,0,0,0,0,0
exist,0,0,0,0,0,0,0,0,0
Whatsapp4j,214,72,14,-474,99,78,4,-470,372
Sponge,0,0,0,0,0,0,0,0,0
cloud-native-spring-in-action,178,65,0,-108,21,22,0,-65,43
incubator-baremaps,111,0,9,-95,5,0,3,-89,85
cloudbreak,2,0,0,0,0,0,0,0,0
CodeKatas,6,11,0,-19,4,0,0,-8,8
fx2048,0,1,0,-1,0,0,0,0,0
MCXR,0,0,0,0,0,0,0,0,0
ImmersivePortalsMod,22,2,11,-55,2,0,1,-43,31
dhis2-core,1,0,0,0,0,0,0,0,0
RoughlyEnoughItems,6,1,6,-13,0,0,0,-6,6
kcctl,5,13,1,-19,0,0,0,-5,3
