repository_name,all_effective_getters,get_prefixed_getters,record_format_getters
elasticsearch,12170,7353,3727
RxJava,134,22,39
retrofit,61,8,40
MPAndroidChart,335,271,0
lottie-android,222,197,5
glide,166,128,25
dbeaver,6256,5318,185
AndroidUtilCode,101,89,5
selenium,479,370,54
nacos,1246,1110,46
butterknife,22,12,6
fastjson,5928,5736,13
EventBus,19,15,1
Signal-Android,2208,1922,90
Hystrix,377,263,49
gson,52,31,8
redisson,1389,1220,25
Sentinel,746,713,3
bazel,3978,3127,573
RxAndroid,2,0,0
rocketmq,2856,2556,32
shardingsphere,111,88,8
fresco,475,410,2
Android-Universal-Image-Loader,40,31,3
tinker,107,84,12
openapi-generator,15633,15283,183
keycloak,5295,4706,95
APIJSON,143,131,2
Android-CleanArchitecture,25,23,1
material-components-android,773,652,14
Algorithms,66,23,18
QMUI_Android,279,230,2
thingsboard,489,444,11
logger,0,0,0
logstash,277,198,48
Android-PickerView,26,24,1
tink,310,261,10
AndroidAutoSize,34,22,12
deeplearning4j,1011,650,191
zuul,173,128,28
stetho,67,43,2
Matisse,12,10,0
piggymetrics,54,54,0
AndroidSwipeLayout,9,7,0
AndroidViewAnimations,2,2,0
guice,302,239,26
eureka,213,190,10
DSA-Bootcamp-Java,7,3,3
VasSonic,14,10,1
questdb,1891,1701,46
mit-deep-learning-book-pdf,0,0,0
onedev,1944,1753,39
androidannotations,133,118,11
SlidingMenu,11,10,0
dex2jar,56,47,2
vlayout,64,54,1
android-async-http,28,23,2
MVPArms,44,28,5
jsoup,89,18,51
cas,82,73,1
android-interview-questions,0,0,0
Java-WebSocket,56,47,0
Android-ObservableScrollView,8,8,0
android-Ultra-Pull-To-Refresh,33,30,0
OpenRefine,345,315,1
AndroidSlidingUpPanel,14,12,0
MagicIndicator,88,77,0
Activiti,2343,2119,43
android-gif-drawable,22,19,0
JsBridge,8,7,0
jjwt,76,57,1
AndroidNote,0,0,0
testing-samples,6,5,0
VirtualAPK,18,15,1
resilience4j,397,349,6
android-gpuimage,29,23,3
CalendarView,74,66,5
languagetool,897,750,42
Android_Data,0,0,0
buck,2667,2340,126
quickstart-android,20,20,0
Android-SpinKit,19,19,0
doris,3936,3407,275
AndResGuard,31,28,0
Signal-Server,461,398,24
Android-Debug-Database,1,0,0
shenyu,2295,2226,7
checkstyle,381,339,4
metrics,47,42,2
UltimateAndroidReference,0,0,0
aws-doc-sdk-examples,317,316,0
cachecloud,325,309,10
AndroidPdfViewer,40,27,0
RxJava-Android-Samples,0,0,0
vjtools,96,77,13
Paper,13,9,1
hellocharts-android,154,120,33
AndroidAsync,183,144,18
android-classyshark,60,54,1
dagger,9,2,0
Android-Bootstrap,57,30,0
ShortcutBadger,0,0,0
sweet-alert-dialog,17,14,0
UltimateRecyclerView,61,49,2
algs4,133,4,70
swagger-core,746,731,1
jmeter,785,647,21
XPopup,22,19,0
OpenSearch,6994,4178,2248
beam,2159,1814,167
closure-compiler,647,498,54
react-native-svg,26,20,0
angel,1314,1247,26
javacv,215,198,1
react-native-push-notification,9,9,0
AndPermission,7,6,1
SDE-Interview-Questions,0,0,0
graylog2-server,992,685,164
AndroidPerformanceMonitor,2,1,0
aeron,1002,13,908
flowable-engine,8891,8026,136
haven,5,1,1
RoundedImageView,17,14,0
android-floating-action-button,9,7,0
processing,303,222,22
ion,42,35,5
Android-Image-Cropper,31,24,0
alluxio,2071,1852,1
Android-skin-support,77,59,3
async-http-client,273,220,9
zeppelin,1112,1050,20
richeditor-android,1,1,0
EffectiveAndroidUI,13,11,0
jsonschema2pojo,201,84,2
AndroidPicker,188,136,33
androidmvp,1,1,0
j2objc,3084,2277,343
blade,84,19,53
junit5,243,205,15
InfiniteCycleViewPager,20,17,0
DiscreteScrollView,20,19,0
AndroidProject,92,81,0
Aegis,136,121,0
AndroidImageSlider,22,18,0
Fast-Android-Networking,45,33,8
useful-java-links,61,61,0
react-native-splash-screen,1,1,0
zxing-android-embedded,69,55,0
android-job,26,16,0
hazelcast,5606,4248,760
XRecyclerView,8,8,0
gradle-retrolambda,0,0,0
MagicCamera,25,20,0
android-advancedrecyclerview,120,95,0
Android-ZBLibrary,59,55,1
android-lifecycle,0,0,0
vavr,97,16,62
drools,8345,7619,141
Side-Menu.Android,3,3,0
AndroidVideoCache,3,1,0
HMCL,1176,889,42
